1,16,3,1,7.036582,172.388048
1,16,3,2,4.599423,102.047468
1,16,3,4,3.042807,69.057562
1,16,3,8,2.802056,63.584371
1,16,3,16,2.284361,52.728624
1,16,3,32,2.170624,50.355096
1,16,3,64,2.033127,47.554626
2,16,3,1,7.620014,170.037224
2,16,3,2,3.847877,103.872598
2,16,3,4,2.485359,74.543022
2,16,3,8,1.755903,55.260967
2,16,3,16,1.230147,40.654620
2,16,3,32,1.005548,34.631075
2,16,3,64,0.923454,32.188760
4,16,3,1,6.086571,156.616664
4,16,3,2,3.495630,103.227214
4,16,3,4,2.133028,73.951593
4,16,3,8,1.440510,57.810582
4,16,3,16,1.032387,45.051581
4,16,3,32,0.781596,36.716336
4,16,3,64,0.671203,32.623757
1,16,5,1,10.599930,258.088450
1,16,5,2,6.793524,153.416111
1,16,5,4,4.463781,103.455240
1,16,5,8,3.342205,79.277507
1,16,5,16,3.083817,73.536188
1,16,5,32,2.900296,69.546391
1,16,5,64,2.681953,64.936235
2,16,5,1,10.532918,237.769960
2,16,5,2,5.807199,151.074137
2,16,5,4,3.813818,105.743687
2,16,5,8,2.623751,82.138645
2,16,5,16,1.877530,63.493917
2,16,5,32,1.525003,53.150011
2,16,5,64,1.384304,49.079647
4,16,5,1,9.399102,236.614140
4,16,5,2,5.341671,150.168194
4,16,5,4,3.203663,103.881265
4,16,5,8,2.156281,81.485571
4,16,5,16,1.580451,70.679751
4,16,5,32,1.209310,57.977635
4,16,5,64,1.033265,51.205802
1,16,7,1,14.502395,347.009731
1,16,7,2,8.618499,196.739181
1,16,7,4,6.071625,141.120855
1,16,7,8,4.442280,106.090183
1,16,7,16,3.786282,91.989633
1,16,7,32,3.548582,86.800071
1,16,7,64,3.536673,86.266015
2,16,7,1,13.410555,305.729503
2,16,7,2,7.981036,202.040072
2,16,7,4,5.173214,139.294504
2,16,7,8,3.534535,106.089755
2,16,7,16,2.553557,86.047815
2,16,7,32,2.028010,71.337159
2,16,7,64,1.835777,65.748733
4,16,7,1,12.544165,313.727285
4,16,7,2,7.198649,198.750834
4,16,7,4,4.311174,135.368245
4,16,7,8,2.848066,104.648475
4,16,7,16,2.037767,89.210404
4,16,7,32,1.645459,78.556500
4,16,7,64,1.415636,69.697819
