1,16,3,1,0.952519
1,16,3,2,0.874314
1,16,3,4,0.865689
1,16,3,8,0.754625
1,16,3,16,0.696239
1,16,3,32,0.742702
1,16,3,64,0.785694
2,16,3,1,1.525498
2,16,3,2,1.007444
2,16,3,4,0.507192
2,16,3,8,0.380537
2,16,3,16,0.281352
2,16,3,32,0.306688
2,16,3,64,0.345895
4,16,3,1,1.000132
4,16,3,2,0.615356
4,16,3,4,0.389302
4,16,3,8,0.303673
4,16,3,16,0.252595
4,16,3,32,0.235533
4,16,3,64,0.250859
1,16,5,1,1.423552
1,16,5,2,1.127960
1,16,5,4,1.098022
1,16,5,8,0.929061
1,16,5,16,0.871875
1,16,5,32,0.912632
1,16,5,64,1.038795
2,16,5,1,2.252584
2,16,5,2,1.345396
2,16,5,4,0.647032
2,16,5,8,0.519031
2,16,5,16,0.436037
2,16,5,32,0.414500
2,16,5,64,0.462843
4,16,5,1,1.476105
4,16,5,2,0.883585
4,16,5,4,0.549522
4,16,5,8,0.411561
4,16,5,16,0.339835
4,16,5,32,0.325890
4,16,5,64,0.335930
1,16,7,1,1.955642
1,16,7,2,1.434920
1,16,7,4,1.332123
1,16,7,8,1.129116
1,16,7,16,1.065457
1,16,7,32,1.119576
1,16,7,64,1.294706
2,16,7,1,2.921321
2,16,7,2,1.333603
2,16,7,4,0.832445
2,16,7,8,0.643061
2,16,7,16,0.522915
2,16,7,32,0.508948
2,16,7,64,0.582191
4,16,7,1,1.897515
4,16,7,2,1.190868
4,16,7,4,0.709576
4,16,7,8,0.529023
4,16,7,16,0.418610
4,16,7,32,0.392805
4,16,7,64,0.419086
